tconst	averageRating	numVotes
tt0000001	5.7	1814
tt0000002	6.0	233
tt0000003	6.5	1571
tt0000004	6.1	151
tt0000005	6.2	2390
tt0000006	5.1	156
tt0000007	5.4	745
tt0000008	5.5	1971
tt0000009	5.8	189
tt0000010	6.9	6548
tt0000011	5.2	322
tt0000012	7.4	11223
tt0000013	5.8	1730
tt0000014	7.1	5039
tt0000015	6.2	950
tt0000016	5.9	1328
tt0000017	4.6	291
tt0000018	5.3	539
tt0000019	5.3	28
tt0000020	4.9	313
tt0000022	5.1	994
tt0000023	5.7	1279
tt0000024	4.3	79
tt0000025	4.2	38
tt0000026	5.6	1425
tt0000027	5.6	1039
tt0000028	5.2	964
tt0000029	6.0	3100
tt0000030	5.2	766
tt0060196	8.8	716293
tt0068646	9.2	1700363
tt0080684	8.7	1202808
tt0110912	8.9	1904237
tt0111161	9.3	2457591
tt0133093	8.7	1749680
tt0167260	8.9	1706217
tt0167261	8.7	1542582
tt0468569	9.0	2413259
tt1170358	7.8	620713
tt1375666	8.8	2164928
tt3498820	7.8	706624
tt4154796	8.4	933502
